UnitID,InstitutionName,Year,TotalEnrollment,,
200590,ETI Technical College,2003,244,,
200697,Air Force Institute of Technology-Graduate School of Engineering & Management,2003,,,
200785,Herzing University-Akron,2003,269,,
200800,University of Akron Main Campus,2003,21452,,
200846,University of Akron Wayne College,2003,1470,,
200873,Allegheny Wesleyan College,2003,45,,
201061,Art Academy of Cincinnati,2003,194,,
201104,Ashland University,2003,6835,,
201140,Athenaeum of Ohio,2003,258,,
201177,Aultman College of Nursing and Health Sciences,2003,234,,
201195,Baldwin Wallace University,2003,4692,,
201283,Belmont College,2003,1753,,
201371,Bluffton University,2003,1121,,
201432,Bowling Green State University-Firelands,2003,1827,,
201441,Bowling Green State University-Main Campus,2003,18534,,
201469,Bryant & Stratton College-Parma,2003,228,,
201548,Capital University,2003,3959,,
201645,Case Western Reserve University,2003,9186,,
201654,Cedarville University,2003,3015,,
201672,Central Ohio Technical College,2003,2590,,
201690,Central State University,2003,1621,,
201751,Chatfield College,2003,245,,
201821,The Christ College of Nursing and Health Sciences,2003,277,,
201867,Cincinnati College of Mortuary Science,2003,122,,
201885,University of Cincinnati-Main Campus,2003,26817,,
201928,Cincinnati State Technical and Community College,2003,7722,,
201946,University of Cincinnati-Clermont College,2003,2659,,
201955,University of Cincinnati-Blue Ash College,2003,4347,,
201964,Ohio Christian University,2003,337,,
201973,Clark State College,2003,3309,,
202046,Cleveland Institute of Art,2003,624,,
202073,Cleveland Institute of Music,2003,418,,
202134,Cleveland State University,2003,16014,,
202170,Columbus College of Art & Design,2003,1631,,
202222,Columbus State Community College,2003,23297,,
202356,Cuyahoga Community College District,2003,23231,,
202435,Davis College,2003,417,,
202453,Dayton Barber College,2003,56,,
202480,University of Dayton,2003,10284,,
202514,Defiance College,2003,1036,,
202523,Denison University,2003,2232,,
202648,Edison State Community College,2003,3116,,
202763,The University of Findlay,2003,4712,,
202806,Franklin University,2003,6286,,
202903,Gods Bible School and College,2003,252,,
202912,Good Samaritan College of Nursing and Health Science,2003,300,,
203085,Heidelberg University,2003,1339,,
203128,Hiram College,2003,1104,,
203155,Hocking College,2003,4754,,
203289,International College of Broadcasting,2003,100,,
203331,Eastern Gateway Community College,2003,1604,,
203368,John Carroll University,2003,4242,,
203386,Hondros College of Nursing,2003,,,
203438,Casal Aveda Institute,2003,73,,
203447,Kent State University at Ashtabula,2003,1371,,
203456,Kent State University at East Liverpool,2003,725,,
203465,Kent State University at Stark,2003,3820,,
203474,Kent State University at Trumbull,2003,2270,,
203483,Kent State University at Tuscarawas,2003,2019,,
203492,Kent State University at Salem,2003,1332,,
203517,Kent State University at Kent,2003,24242,,
203526,Kent State University at Geauga,2003,884,,
203535,Kenyon College,2003,1613,,
203544,Kettering College,2003,651,,
203580,Lake Erie College,2003,1032,,
203599,Lakeland Community College,2003,8635,,
203614,Collins Career Technical Center,2003,538,,
203678,James A. Rhodes State College,2003,2842,,
203720,Ohio Business College-Sheffield,2003,333,,
203739,Ohio Business College-Sandusky,2003,154,,
203748,Lorain County Community College,2003,9409,,
203757,Lourdes University,2003,1249,,
203775,Malone University,2003,2206,,
203845,Marietta College,2003,1342,,
203881,Marion Technical College,2003,2121,,
203960,Mercy College of Ohio,2003,566,,
203997,Methodist Theological School in Ohio,2003,262,,
204006,Miami University-Hamilton,2003,2554,,
204015,Miami University-Middletown,2003,2128,,
204024,Miami University-Oxford,2003,16863,,
204121,Moler Hollywood Beauty Academy,2003,100,,
204176,Mount Carmel College of Nursing,2003,552,,
204185,University of Mount Union,2003,2425,,
204194,Mount Vernon Nazarene University,2003,2392,,
204200,Mount St. Joseph University,2003,2110,,
204255,Zane State College,2003,1702,,
204264,Muskingum University,2003,2145,,
204422,North Central State College,2003,4482,,
204440,Northwest State Community College,2003,3348,,
204459,Toledo Public Schools Adult and Continuing Education,2003,226,,
204468,Notre Dame College,2003,989,,
204477,Northeast Ohio Medical University,2003,430,,
204486,University of Northwestern Ohio,2003,2665,,
204501,Oberlin College,2003,2922,,
204608,Ohio Technical College,2003,456,,
204617,Ohio Dominican University,2003,2566,,
204635,Ohio Northern University,2003,3451,,
204662,Ohio State University Agricultural Technical Institute,2003,830,,
204671,Ohio State University-Lima Campus,2003,1338,,
204680,Ohio State University-Mansfield Campus,2003,1640,,
204699,Ohio State University-Marion Campus,2003,1567,,
204705,Ohio State University-Newark Campus,2003,2148,,
204714,Ohio State Beauty Academy,2003,164,,
204723,Ohio State College of Barber Styling,2003,77,,
204769,The Spa School,2003,52,,
204778,Ohio State School of Cosmetology-Canal Winchester,2003,95,,
204796,Ohio State University-Main Campus,2003,50731,,
204802,Ohio University-Eastern Campus,2003,966,,
204820,Ohio University-Chillicothe Campus,2003,2018,,
204839,Ohio University-Southern Campus,2003,1944,,
204848,Ohio University-Lancaster Campus,2003,1734,,
204857,Ohio University-Main Campus,2003,20452,,
204866,Ohio University-Zanesville Campus,2003,1974,,
204884,East Ohio College,2003,126,,
204893,Trinity Health System School of Nursing,2003,134,,
204909,Ohio Wesleyan University,2003,1929,,
204936,Otterbein University,2003,3004,,
204945,Owens Community College,2003,19341,,
204990,Payne Theological Seminary,2003,122,,
205027,Pontifical College Josephinum,2003,149,,
205054,Professional Skills Institute,2003,239,,
205090,Firelands Regional Medical Center School of Nursing,2003,92,,
205124,Rabbinical College Telshe,2003,64,,
205142,Raphael's School of Beauty Culture Inc-Niles,2003,98,,
205179,Fortis College-Centerville,2003,599,,
205203,University of Rio Grande,2003,2074,,
205391,The Modern College of Design,2003,121,,
205443,Shawnee State University,2003,3693,,
205470,Sinclair Community College,2003,19860,,
205559,Hussian College-Daymar College Columbus,2003,60,,
205841,Stark State College,2003,5667,,
205887,Stautzenberger College-Maumee,2003,792,,
205957,Franciscan University of Steubenville,2003,2281,,
205966,Southern State Community College,2003,2346,,
206011,Terra State Community College,2003,2549,,
206048,Tiffin University,2003,1407,,
206084,University of Toledo,2003,20594,,
206154,Tri-State Bible College,2003,51,,
206279,Union Institute & University,2003,2902,,
206288,United Theological Seminary,2003,321,,
206349,Ursuline College,2003,1409,,
206394,The North Coast College,2003,235,,
206437,Walsh University,2003,1801,,
206446,Washington State Community College,2003,2221,,
206491,Wilberforce University,2003,1180,,
206507,Wilmington College,2003,1807,,
206516,Winebrenner Theological Seminary,2003,100,,
206525,Wittenberg University,2003,2282,,
206589,The College of Wooster,2003,1871,,
206604,Wright State University-Main Campus,2003,14648,,
206613,Wright State University-Lake Campus,2003,892,,
206622,Xavier University,2003,6626,,
206695,Youngstown State University,2003,12870,,
245892,Antioch University,2003,715,,
250902,Moler-Pickens Beauty Academy,2003,121,,
363147,Raphael's School of Beauty Culture Inc-Alliance,2003,29,,
363882,Raphael's School of Beauty Culture Inc-Brunswick,2003,35,,
375407,Madison Adult Career Center,2003,33,,
375416,Remington College-Cleveland Campus,2003,163,,
405012,Ohio State School of Cosmetology-Heath,2003,103,,
407568,Raphael's School of Beauty Culture Inc-Boardman,2003,52,,
411754,Cleveland Clinic Health System-School of Diagnostic Imaging,2003,41,,
434830,Creative Images Institute of Cosmetology-North Dayton,2003,177,,
439899,Rosedale Bible College,2003,81,,
441636,American Institute of Alternative Medicine,2003,252,,
441645,Brown Aveda Institute-Mentor,2003,118,,
444051,Creative Images Institute of Cosmetology-South Dayton,2003,134,,
448600,Stautzenberger College-Brecksville,2003,,,
450058,Fortis College-Columbus,2003,,,
450067,Fortis College-Cincinnati,2003,,,
450395,Brown Aveda Institute-Strongsville,2003,,,
451477,MyComputerCareer at Columbus,2003,,,
452081,Ross College-Sylvania,2003,,,
452373,ATA College-Cincinnati,2003,,,
452948,Galen College of Nursing-Cincinnati,2003,,,
453792,Ohio Medical Career College,2003,,,
454236,Chamberlain University-Ohio,2003,,,
457916,Summit Salon Academy-Perrysburg,2003,,,
461111,Allstate Hairstyling & Barber College,2003,,,
461999,Elite School of Cosmetology,2003,,,
476629,Salon Institute-Toledo Campus,2003,,,
476683,Athena Career Academy,2003,,,
